"ticker","type_stock","date_approval","value_cash","ratio","corporate_action","last_date_prior_ex","date_closing_price_prior_ex_date","closing_price_prior_ex_date","quoted_per_shares","corporate_action_price","last_date_time_prior_ex"
"ALPA4","PN","2021-10-28","0,02359746646","1,0","JRS CAP PROPRIO","2021-11-03","2021-11-03","40,93","1,0","0,057653","2021-11-03T00:00:00"
"ALPA4","PN","2021-12-27","0,16315386908","1,0","JRS CAP PROPRIO","2021-12-30","2021-12-30","37,02","1,0","0,440718","2021-12-30T00:00:00"
"ALSO3","ON","2015-04-29","0,455","1,0","DIVIDENDO","2015-04-29","2015-04-29","20,81","1,0","2,186449","2015-04-29T00:00:00"
"ALSO3","ON","2016-04-27","0,455","1,0","DIVIDENDO","2016-04-27","2016-04-27","17,0","1,0","2,676471","2016-04-27T00:00:00"
"ALSO3","ON","2017-04-27","0,455","1,0","DIVIDENDO","2017-04-27","2017-04-27","21,75","1,0","2,091954","2017-04-27T00:00:00"
"ALSO3","ON","2018-04-25","0,455","1,0","DIVIDENDO","2018-04-25","2018-04-25","22,9","1,0","1,9869","2018-04-25T00:00:00"
"ALSO3","ON","2019-04-29","0,455","1,0","DIVIDENDO","2019-04-29","2019-04-29","29,33","1,0","1,551313","2019-04-29T00:00:00"
"ALSO3","ON","2021-04-28","0,226402907","1,0","DIVIDENDO","2021-04-28","2021-04-28","26,95","1,0","0,840085","2021-04-28T00:00:00"
"ALSO3","ON","2022-04-30","0,38393163759","1,0","DIVIDENDO","2022-05-02","2022-05-02","20,44","1,0","1,878335","2022-05-02T00:00:00"
"ALSO3","ON","2023-04-28","0,25950720796","1,0","DIVIDENDO","2023-04-28","2023-04-28","18,64","1,0","1,392206","2023-04-28T00:00:00"
"ALSO3","ON","2023-04-28","0,25950720796","1,0","DIVIDENDO","2023-04-28","2023-04-28","18,64","1,0","1,392206","2023-04-28T00:00:00"
"ALUP11","UNT","2015-04-15","1,2","1,0","DIVIDENDO","2015-04-15","2015-04-15","20,5","1,0","5,853659","2015-04-15T00:00:00"
"ALUP11","UNT","2016-04-20","0,36","1,0","DIVIDENDO","2016-04-20","2016-04-20","15,1","1,0","2,384106","2016-04-20T00:00:00"
